# ratesweep 127.0.0.1:47190 bound 1e-05 1e-09 (A.3 default)
config	epoch_tt	object	lon_err	lat_err	dist_err_au_per_day	dist_err_per_au	flag
geo apparent, true of date, ecliptic	2415020.5	Saturn mean aphelion	7.6375e-12	2.4417e-11	1.7593e-11	1.5914e-12	
geo apparent, true of date, ecliptic	2415020.5	Saturn osc aphelion	1.3068e-09	5.7159e-11	1.0220e-11	9.2518e-13	
geo apparent, true of date, ecliptic	2415020.5	Moon natural apogee	4.8191e-08	5.8260e-09	9.6696e-14	9.6696e-14	
geo apparent, true of date, ecliptic	2415020.5	Moon natural perigee	1.5093e-07	6.5798e-10	1.2986e-13	1.2986e-13	
geo apparent, true of date, ecliptic	2415020.5	Sirius	1.5874e-11	1.5661e-11	1.3895e-07	2.5540e-13	OVER
geo apparent, true of date, ecliptic	2415020.5	Vega	7.2453e-12	3.6716e-11	2.5911e-07	1.6357e-13	OVER
geo apparent, true of date, ecliptic	2415020.5	Polaris	1.2191e-11	1.3986e-11	1.6912e-05	6.1822e-13	OVER
geo apparent, true of date, ecliptic	2415020.5	Rigil Kentaurus	1.3444e-11	3.0799e-12	9.6540e-09	3.5290e-14	OVER
geo apparent, true of date, ecliptic	2451545.0	Sun	4.3339e-12	9.1624e-12	2.8325e-13	2.8325e-13	
geo apparent, true of date, ecliptic	2451545.0	Moon	5.4641e-12	6.6310e-09	2.9116e-13	2.9116e-13	
geo apparent, true of date, ecliptic	2451545.0	Mercury	3.8691e-11	5.3911e-12	7.3768e-13	5.2116e-13	
geo apparent, true of date, ecliptic	2451545.0	Venus	6.6198e-12	2.7944e-12	7.7417e-14	6.8055e-14	
geo apparent, true of date, ecliptic	2451545.0	Earth					unanswered errCode 2
geo apparent, true of date, ecliptic	2451545.0	Mars	3.9668e-13	5.1012e-12	3.3574e-13	1.8151e-13	
geo apparent, true of date, ecliptic	2451545.0	Jupiter	3.0583e-11	3.8121e-12	4.3008e-13	9.3067e-14	
geo apparent, true of date, ecliptic	2451545.0	Saturn	2.3934e-11	1.0938e-13	4.7362e-12	5.4736e-13	
geo apparent, true of date, ecliptic	2451545.0	Uranus	1.3611e-11	7.3535e-12	1.8994e-11	9.1638e-13	
geo apparent, true of date, ecliptic	2451545.0	Neptune	5.4882e-11	1.7968e-11	1.4535e-11	4.6851e-13	
geo apparent, true of date, ecliptic	2451545.0	Pluto	1.3690e-11	1.7628e-11	1.6189e-11	5.2114e-13	
geo apparent, true of date, ecliptic	2451545.0	Moon mean asc node	4.4448e-09	5.1929e-09	8.6414e-14	8.6414e-14	
geo apparent, true of date, ecliptic	2451545.0	Moon osc asc node	5.2794e-09	7.8668e-09	2.7050e-12	2.7050e-12	
geo apparent, true of date, ecliptic	2451545.0	Moon mean desc node	3.4730e-09	1.4454e-09	3.8449e-13	3.8449e-13	
geo apparent, true of date, ecliptic	2451545.0	Moon osc desc node	2.7398e-09	2.4126e-09	6.1418e-14	6.1418e-14	
geo apparent, true of date, ecliptic	2451545.0	Moon mean perihelion	1.2562e-09	7.3056e-09	3.7371e-13	3.7371e-13	
geo apparent, true of date, ecliptic	2451545.0	Moon osc perihelion	1.0972e-06	5.6845e-08	1.1771e-11	1.1771e-11	
geo apparent, true of date, ecliptic	2451545.0	Moon mean aphelion	2.7711e-10	1.0425e-08	5.2989e-13	5.2989e-13	
geo apparent, true of date, ecliptic	2451545.0	Moon osc aphelion	4.2926e-08	5.0705e-09	3.6369e-13	3.6369e-13	
geo apparent, true of date, ecliptic	2451545.0	Mercury mean asc node	1.1469e-11	8.8227e-12	6.7303e-14	6.7303e-14	
geo apparent, true of date, ecliptic	2451545.0	Mercury osc asc node	1.3574e-10	2.7938e-11	5.1954e-14	5.1954e-14	
geo apparent, true of date, ecliptic	2451545.0	Mercury mean desc node	1.2838e-12	1.6350e-11	5.9711e-13	4.5559e-13	
geo apparent, true of date, ecliptic	2451545.0	Mercury osc desc node	1.1071e-11	1.3005e-11	7.3535e-13	5.6107e-13	
geo apparent, true of date, ecliptic	2451545.0	Mercury mean perihelion	1.9063e-11	1.9066e-11	2.6802e-13	2.6802e-13	
geo apparent, true of date, ecliptic	2451545.0	Mercury osc perihelion	1.1354e-10	5.2346e-11	1.8328e-13	1.8328e-13	
geo apparent, true of date, ecliptic	2451545.0	Mercury mean aphelion	2.1603e-11	3.3042e-12	3.8964e-13	2.7364e-13	
geo apparent, true of date, ecliptic	2451545.0	Mercury osc aphelion	5.9001e-12	4.8388e-12	4.5482e-13	3.1942e-13	
geo apparent, true of date, ecliptic	2451545.0	Venus mean asc node	1.0551e-10	3.5020e-12	2.3063e-12	2.3063e-12	
geo apparent, true of date, ecliptic	2451545.0	Venus osc asc node	2.5381e-11	4.6260e-11	1.8758e-12	1.8758e-12	
geo apparent, true of date, ecliptic	2451545.0	Venus mean desc node	5.9299e-11	5.8190e-13	3.2334e-13	1.9317e-13	
geo apparent, true of date, ecliptic	2451545.0	Venus osc desc node	2.6865e-11	2.3276e-12	9.4063e-14	5.6196e-14	
geo apparent, true of date, ecliptic	2451545.0	Venus mean perihelion	4.1923e-11	1.5310e-11	4.4138e-13	4.4138e-13	
geo apparent, true of date, ecliptic	2451545.0	Venus osc perihelion	4.0506e-09	7.9665e-10	1.5488e-10	1.5488e-10	
geo apparent, true of date, ecliptic	2451545.0	Venus mean aphelion	2.4565e-11	9.2495e-12	1.0341e-12	6.2681e-13	
geo apparent, true of date, ecliptic	2451545.0	Venus osc aphelion	6.9884e-10	6.8188e-11	5.7751e-12	3.5031e-12	
geo apparent, true of date, ecliptic	2451545.0	Mars mean asc node	3.0539e-11	1.9114e-11	3.5825e-13	3.1376e-13	
geo apparent, true of date, ecliptic	2451545.0	Mars osc asc node	5.3664e-10	1.5517e-11	8.6380e-12	7.5657e-12	
geo apparent, true of date, ecliptic	2451545.0	Mars mean desc node	7.4015e-11	1.7555e-11	4.8752e-13	2.1173e-13	
geo apparent, true of date, ecliptic	2451545.0	Mars osc desc node	1.4952e-10	1.4170e-11	1.2318e-12	5.3491e-13	
geo apparent, true of date, ecliptic	2451545.0	Mars mean perihelion	1.9546e-11	2.9773e-14	1.9820e-12	9.4426e-13	
geo apparent, true of date, ecliptic	2451545.0	Mars osc perihelion	2.8050e-11	1.4854e-11	1.3129e-12	6.2558e-13	
geo apparent, true of date, ecliptic	2451545.0	Mars mean aphelion	2.6030e-11	9.1607e-12	1.9593e-13	1.4227e-13	
geo apparent, true of date, ecliptic	2451545.0	Mars osc aphelion	2.2449e-10	4.8946e-12	1.2232e-11	8.8788e-12	
geo apparent, true of date, ecliptic	2451545.0	Jupiter mean asc node	9.9967e-10	4.5799e-11	6.9808e-12	1.6662e-12	
geo apparent, true of date, ecliptic	2451545.0	Jupiter osc asc node	1.3392e-09	5.3048e-11	5.6966e-12	1.3608e-12	
geo apparent, true of date, ecliptic	2451545.0	Jupiter mean desc node	7.7697e-08	6.9878e-10	6.5090e-12	1.0513e-12	
geo apparent, true of date, ecliptic	2451545.0	Jupiter osc desc node	5.0427e-08	3.8252e-10	9.9285e-12	1.6020e-12	
geo apparent, true of date, ecliptic	2451545.0	Jupiter mean perihelion	1.4417e-11	2.4803e-12	5.0260e-12	1.0097e-12	
geo apparent, true of date, ecliptic	2451545.0	Jupiter osc perihelion	1.1471e-09	1.2570e-12	1.3607e-11	2.7437e-12	
geo apparent, true of date, ecliptic	2451545.0	Jupiter mean aphelion	9.0525e-12	1.1007e-11	2.4821e-12	4.4230e-13	
geo apparent, true of date, ecliptic	2451545.0	Jupiter osc aphelion	1.3960e-09	4.2830e-11	4.2776e-11	7.5943e-12	
geo apparent, true of date, ecliptic	2451545.0	Saturn mean asc node	1.0350e-10	2.9318e-11	5.8875e-12	7.2629e-13	
geo apparent, true of date, ecliptic	2451545.0	Saturn osc asc node	6.0385e-10	2.3466e-11	2.2024e-12	2.7071e-13	
geo apparent, true of date, ecliptic	2451545.0	Saturn mean desc node	2.0275e-10	3.7901e-11	4.5634e-12	4.1489e-13	
geo apparent, true of date, ecliptic	2451545.0	Saturn osc desc node	1.1386e-10	7.0680e-13	1.0359e-11	9.3969e-13	
geo apparent, true of date, ecliptic	2451545.0	Saturn mean perihelion	9.0499e-12	3.7653e-11	7.6696e-12	9.5210e-13	
geo apparent, true of date, ecliptic	2451545.0	Saturn osc perihelion	1.2438e-09	8.1516e-11	1.4037e-11	1.7363e-12	
geo apparent, true of date, ecliptic	2451545.0	Saturn mean aphelion	3.2061e-11	2.4493e-11	1.1169e-11	1.0104e-12	
geo apparent, true of date, ecliptic	2451545.0	Saturn osc aphelion	2.5818e-10	1.0159e-11	4.6960e-12	4.2369e-13	
geo apparent, true of date, ecliptic	2451545.0	Moon natural apogee	1.7810e-09	2.5608e-09	8.6653e-14	8.6653e-14	
geo apparent, true of date, ecliptic	2451545.0	Moon natural perigee	1.8200e-09	7.1671e-09	1.1805e-13	1.1805e-13	
geo apparent, true of date, ecliptic	2451545.0	Sirius	9.5622e-12	1.1983e-11	2.4804e-08	4.5601e-14	OVER
geo apparent, true of date, ecliptic	2451545.0	Vega	3.5428e-11	2.3268e-11	3.3058e-07	2.0872e-13	OVER
geo apparent, true of date, ecliptic	2451545.0	Polaris	1.9169e-11	2.1183e-11	8.1008e-06	2.9612e-13	OVER
geo apparent, true of date, ecliptic	2451545.0	Rigil Kentaurus	2.6891e-11	1.9980e-11	2.4812e-07	9.0808e-13	OVER
