# ratesweep 127.0.0.1:47392 bound 0.005 0.0001 (advertised)
config	epoch_tt	object	lon_err	lat_err	dist_err	flag
geo apparent, true of date, ecliptic	2451545.0	Jupiter osc asc node	2.9200e-08	1.4099e-06	1.7723e-06	
geo apparent, true of date, ecliptic	2451545.0	Jupiter mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Jupiter osc desc node	7.6919e-06	9.0247e-07	1.7721e-06	
geo apparent, true of date, ecliptic	2451545.0	Jupiter mean perihelion	1.0649e-11	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Jupiter osc perihelion	3.3756e-09	1.1803e-06	1.8325e-07	
geo apparent, true of date, ecliptic	2451545.0	Jupiter mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Jupiter osc aphelion	3.4374e-09	1.0365e-06	4.7237e-07	
geo apparent, true of date, ecliptic	2451545.0	Saturn mean asc node	2.0615e-11	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Saturn osc asc node	5.1403e-08	7.3102e-07	1.7109e-06	
geo apparent, true of date, ecliptic	2451545.0	Saturn mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Saturn osc desc node	6.2221e-08	5.3152e-07	1.7311e-06	
geo apparent, true of date, ecliptic	2451545.0	Saturn mean perihelion	1.2127e-12	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Saturn osc perihelion	5.1314e-08	7.2469e-07	1.7351e-06	
geo apparent, true of date, ecliptic	2451545.0	Saturn mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Saturn osc aphelion	5.0571e-08	5.3419e-07	1.7479e-06	
geo apparent, true of date, ecliptic	2451545.0	Moon natural apogee	1.0849e-06	5.6455e-06	1.1057e-12	
geo apparent, true of date, ecliptic	2451545.0	Moon natural perigee	6.8983e-06	6.2517e-06	2.8236e-12	
geo apparent, true of date, ecliptic	2451545.0	Sirius	1.2470e-06	5.8712e-06	4.4201e-11	
geo apparent, true of date, ecliptic	2451545.0	Vega	3.0297e-06	5.8357e-06	1.8760e-10	
geo apparent, true of date, ecliptic	2451545.0	Polaris	2.6746e-07	6.0610e-06	5.7656e-12	
geo apparent, true of date, ecliptic	2451545.0	Rigil Kentaurus	2.8033e-06	5.2290e-06	9.0239e-11	
geo apparent, true of date, ecliptic	2461300.5	Sun	4.7308e-07	9.3150e-07	1.0197e-11	
geo apparent, true of date, ecliptic	2461300.5	Moon	3.3423e-05	2.6234e-07	2.8069e-09	
geo apparent, true of date, ecliptic	2461300.5	Mercury	2.7168e-06	1.4053e-06	1.5999e-06	
geo apparent, true of date, ecliptic	2461300.5	Venus	4.3523e-07	5.4459e-06	5.6295e-07	
geo apparent, true of date, ecliptic	2461300.5	Earth	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Mars	1.6882e-07	9.0276e-06	8.2311e-07	
geo apparent, true of date, ecliptic	2461300.5	Jupiter	8.7245e-08	6.7048e-06	1.3451e-06	
geo apparent, true of date, ecliptic	2461300.5	Saturn	4.0880e-07	2.1872e-06	1.6073e-06	
geo apparent, true of date, ecliptic	2461300.5	Uranus	2.7295e-08	9.0069e-06	5.4267e-07	
