surfaces		corrmask 7 observers						27	3								differs	
horizons	2415020.5	4	geo	ICRF	equator	1	69.2	286.6818311540/-23.4972532155	286.6818312016/-23.4972531623	286.6818311540/-23.4972532160	Horizons geo-mars q1	2.480e-04	1.656e-06	2.492e-04	ours 0.0001 theirs 0.002000	2	agree	
horizons	2415020.5	5	geo	ICRF	equator	1	69.2	240.6310786211/-19.8802135922	240.6310787452/-19.8802136138	240.6310786210/-19.8802135920	Horizons geo-jupiter q1	4.273e-04	8.070e-07	4.278e-04	ours 0.0001 theirs 0.002000	2	agree	
horizons	2415020.5	6	geo	ICRF	equator	1	69.2	269.0417372069/-22.4416631213	269.0417372372/-22.4416631860	269.0417372070/-22.4416631210	Horizons geo-saturn q1	2.537e-04	1.134e-06	2.546e-04	ours 0.0001 theirs 0.002000	2	agree	
horizons	2415020.5	7	geo	ICRF	equator	1	69.2	250.0096762380/-22.1163554261	250.0096763283/-22.1163554012	250.0096762380/-22.1163554260	Horizons geo-uranus q1	3.140e-04	2.201e-07	3.140e-04	ours 0.0001 theirs 0.002000	2	agree	
horizons	2415020.5	8	geo	ICRF	equator	1	69.2	86.3359181527/22.1095600598	86.3359181398/22.1095600970	86.3359181530/22.1095600600	Horizons geo-neptune q1	1.408e-04	1.235e-06	1.403e-04	ours 0.0001 theirs 0.002000	2	agree	
horizons	2415020.5	9	geo	ICRF	equator	1	69.2	76.4796212552/13.0507238732	76.4796212972/13.0507238652	76.4796212550/13.0507238730	Horizons geo-pluto q1	1.501e-04	1.103e-06	1.506e-04	ours 0.0001 theirs 0.002000	2	agree	
horizons	2442413.5	10	geo	ICRF	equator	1	69.2	281.1871758250/-23.0441333146	281.1871758669/-23.0441332963	281.1871758250/-23.0441333150	Horizons geo-sun q1	1.535e-04	1.331e-06	1.542e-04	ours 0.0001 theirs 0.002103	2	agree	
horizons	2442413.5	301	geo	ICRF	equator	1	69.2	140.3889409106/10.3352577012	140.3889405757/10.3352577663	140.3889409150/10.3352576990	Horizons geo-moon q1	0.00120917932	1.728e-05	0.00122582582	ours 0.03 theirs 0.030000	2	agree	
horizons	2442413.5	199	geo	ICRF	equator	1	69.2	289.1484632193/-24.3996520826	289.1484632583/-24.3996520736	289.1484632190/-24.3996520830	Horizons geo-mercury q1	1.321e-04	1.642e-06	1.333e-04	ours 0.0001 theirs 0.002000	2	agree	
horizons	2442413.5	299	geo	ICRF	equator	1	69.2	295.8310417711/-22.5723918330	295.8310417512/-22.5723918541	295.8310417710/-22.5723918330	Horizons geo-venus q1	1.006e-04	2.527e-07	1.003e-04	ours 0.0001 theirs 0.002000	2	agree	
